ticker,name,sector,industry,index,country
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,SP500,US
IVZ,Invesco,Financials,Asset Management & Custody Banks,SP500,US
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,SP500,US
IQV,IQVIA,Health Care,Life Sciences Tools & Services,SP500,US
IRM,Iron Mountain,Real Estate,Other Specialized REITs,SP500,US
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,SP500,US
JBL,Jabil,Information Technology,Electronic Manufacturing Services,SP500,US
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,SP500,US
J,Jacobs Solutions,Industrials,Construction & Engineering,SP500,US
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,SP500,US
JCI,Johnson Controls,Industrials,Building Products,SP500,US
JPM,JPMorgan Chase,Financials,Diversified Banks,SP500,US
KVUE,Kenvue,Consumer Staples,Personal Care Products,SP500,US
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,SP500,US
KEY,KeyCorp,Financials,Regional Banks,SP500,US
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,SP500,US
KMB,Kimberly-Clark,Consumer Staples,Household Products,SP500,US
KIM,Kimco Realty,Real Estate,Retail REITs,SP500,US
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,SP500,US
KKR,KKR & Co.,Financials,Asset Management & Custody Banks,SP500,US
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,SP500,US
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,SP500,US
KR,Kroger,Consumer Staples,Food Retail,SP500,US
LHX,L3Harris,Industrials,Aerospace & Defense,SP500,US
LH,Labcorp,Health Care,Health Care Services,SP500,US
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,SP500,US
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,SP500,US
LDOS,Leidos,Industrials,Diversified Support Services,SP500,US
LEN,Lennar,Consumer Discretionary,Homebuilding,SP500,US
LII,Lennox International,Industrials,Building Products,SP500,US
LLY,Lilly (Eli),Health Care,Pharmaceuticals,SP500,US
LIN,Linde plc,Materials,Industrial Gases,SP500,US
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,SP500,US
LMT,Lockheed Martin,Industrials,Aerospace & Defense,SP500,US
L,Loews Corporation,Financials,Multi-line Insurance,SP500,US
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,SP500,US
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",SP500,US
LITE,Lumentum,Information Technology,Communications Equipment,SP500,US
LYB,LyondellBasell,Materials,Specialty Chemicals,SP500,US
MTB,M&T Bank,Financials,Regional Banks,SP500,US
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,SP500,US
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",SP500,US
MRSH,Marsh McLennan,Financials,Insurance Brokers,SP500,US
MLM,Martin Marietta Materials,Materials,Construction Materials,SP500,US
MAS,Masco,Industrials,Building Products,SP500,US
MA,Mastercard,Financials,Transaction & Payment Processing Services,SP500,US
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,SP500,US
MCD,McDonald's,Consumer Discretionary,Restaurants,SP500,US
MCK,McKesson Corporation,Health Care,Health Care Distributors,SP500,US
MDT,Medtronic,Health Care,Health Care Equipment,SP500,US
MRK,Merck & Co.,Health Care,Pharmaceuticals,SP500,US
META,Meta Platforms,Communication Services,Interactive Media & Services,SP500,US
MET,MetLife,Financials,Life & Health Insurance,SP500,US
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,SP500,US
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,SP500,US
MCHP,Microchip Technology,Information Technology,Semiconductors,SP500,US
MU,Micron Technology,Information Technology,Semiconductors,SP500,US
MSFT,Microsoft,Information Technology,Systems Software,SP500,US
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,SP500,US
MRNA,Moderna,Health Care,Biotechnology,SP500,US
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,SP500,US
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,SP500,US
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,SP500,US
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,SP500,US
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,SP500,US
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,SP500,US
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,SP500,US
MSI,Motorola Solutions,Information Technology,Communications Equipment,SP500,US
MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,SP500,US
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,SP500,US
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",SP500,US
NFLX,Netflix,Communication Services,Movies & Entertainment,SP500,US
NEM,Newmont,Materials,Gold,SP500,US
NWSA,News Corp (Class A),Communication Services,Publishing,SP500,US
NWS,News Corp (Class B),Communication Services,Publishing,SP500,US
NEE,NextEra Energy,Utilities,Multi-Utilities,SP500,US
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",SP500,US
NI,NiSource,Utilities,Multi-Utilities,SP500,US
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,SP500,US
NSC,Norfolk Southern,Industrials,Rail Transportation,SP500,US
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,SP500,US
NOC,Northrop Grumman,Industrials,Aerospace & Defense,SP500,US
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",SP500,US
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,SP500,US
NUE,Nucor,Materials,Steel,SP500,US
NVDA,Nvidia,Information Technology,Semiconductors,SP500,US
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,SP500,US
NXPI,NXP Semiconductors,Information Technology,Semiconductors,SP500,US
ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,SP500,US
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,SP500,US
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,SP500,US
OMC,Omnicom Group,Communication Services,Advertising,SP500,US
ON,ON Semiconductor,Information Technology,Semiconductors,SP500,US
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,SP500,US
ORCL,Oracle Corporation,Information Technology,Application Software,SP500,US
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,SP500,US
